Pais,Liga,Club,ArchivoAGuardar
"Reino Unido","Premier League","Manchester City","manchester-city-gb.png"
"Reino Unido","Premier League","Arsenal","arsenal-gb.png"
"Reino Unido","Premier League","Liverpool","liverpool-gb.png"
"Reino Unido","Premier League","Chelsea","chelsea-gb.png"
"Reino Unido","Premier League","Manchester United","manchester-united-gb.png"
"Reino Unido","Premier League","Tottenham Hotspur","tottenham-hotspur-gb.png"
"Reino Unido","Premier League","Newcastle United","newcastle-united-gb.png"
"Reino Unido","Premier League","Aston Villa","aston-villa-gb.png"
"Reino Unido","Premier League","West Ham United","west-ham-united-gb.png"
"Reino Unido","Premier League","Brighton & Hove Albion","brighton-hove-albion-gb.png"
"Reino Unido","Premier League","Everton","everton-gb.png"
"Reino Unido","Premier League","Wolverhampton Wanderers","wolverhampton-wanderers-gb.png"
"Reino Unido","Premier League","Crystal Palace","crystal-palace-gb.png"
"Reino Unido","Premier League","Fulham","fulham-gb.png"
"Reino Unido","Premier League","Brentford","brentford-gb.png"
"Reino Unido","Premier League","Nottingham Forest","nottingham-forest-gb.png"
"Reino Unido","Premier League","Bournemouth","bournemouth-gb.png"
"Reino Unido","Premier League","Leicester City","leicester-city-gb.png"
"Reino Unido","Championship","Leeds United","leeds-united-gb.png"
"Reino Unido","Championship","Southampton","southampton-gb.png"
"Reino Unido","Championship","Norwich City","norwich-city-gb.png"
"Reino Unido","Championship","West Bromwich Albion","west-bromwich-albion-gb.png"
"Reino Unido","Championship","Middlesbrough","middlesbrough-gb.png"
"Reino Unido","Championship","Sunderland","sunderland-gb.png"
"Reino Unido","Championship","Sheffield United","sheffield-united-gb.png"
"Reino Unido","Championship","Coventry City","coventry-city-gb.png"
"Reino Unido","Championship","Hull City","hull-city-gb.png"
"Reino Unido","Championship","Millwall","millwall-gb.png"
"Reino Unido","Championship","Stoke City","stoke-city-gb.png"
"Reino Unido","Championship","Watford","watford-gb.png"
"España","La Liga","Real Madrid","real-madrid-es.png"
"España","La Liga","FC Barcelona","fc-barcelona-es.png"
"España","La Liga","Atlético de Madrid","atletico-de-madrid-es.png"
"España","La Liga","Real Sociedad","real-sociedad-es.png"
"España","La Liga","Athletic Club","athletic-club-es.png"
"España","La Liga","Real Betis","real-betis-es.png"
"España","La Liga","Villarreal","villarreal-es.png"
